set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1,5.75,1.82,0.343,-0.172,7.5,0.12005317,0.0052931444,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,22.5,0.114968926,0.0045757634,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,37.5,0.106078334,0.0044637765,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,52.5,0.09526553,0.0040087737,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,67.5,0.08424862,0.0034390285,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,82.5,0.074176475,0.0031665938,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,97.5,0.06561801,0.0030466442,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,112.5,0.058736928,0.0027823683,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,127.5,0.053479675,0.0025670244,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,142.5,0.04971022,0.0025004242,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,157.5,0.047287516,0.0023880196,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,172.5,0.04610443,0.002300611,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,187.5,0.046104424,0.0022909287,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,202.5,0.047287516,0.0022400098,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
1,5.75,1.82,0.343,-0.172,217.5,0.04971022,0.002489985,-0.992404142310346,-0.31,-0.396272488732234,0.0177613202492135
