set,bin,k,Q2,xB,t,phi,dsig,dsig_err,delsig,delsig_err,exp d4sig (nb/Gev^4),d4sig_stat,d4sig_sys+,d4sig_sys-,exp del4sig (nb/GeV^4),del4sig_stat,del4sig_sys+,del4sig_sys-,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS,experiment,link
1,0,5.55,1.51,0.359,-0.18,15,0.120889267,0.00642073,0.002623496,0.006700963,0.1177,0.0052,0.0037664,0.0037664,0.00355,0.0067,0.0001136,0.0001136,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,1,5.55,1.51,0.359,-0.18,45,0.114775222,0.006291947,0.021464056,0.006410942,0.1107,0.0052,0.0035424,0.0035424,0.0117,0.0064,0.0003744,0.0003744,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,2,5.55,1.51,0.359,-0.18,75,0.096020393,0.005891896,0.010192492,0.006011471,0.0974,0.005,0.0031168,0.0031168,0.0116,0.006,0.0003712,0.0003712,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,3,5.55,1.51,0.359,-0.18,105,0.099866088,0.005614245,0.005097946,0.005500072,0.091,0.0048,0.002912,0.002912,0.000877,0.0055,0.000028064,0.000028064,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,4,5.55,1.51,0.359,-0.18,135,0.078182339,0.005362722,0.017232368,0.005220377,0.0807,0.0047,0.0025824,0.0025824,0.0144,0.0052,0.0004608,0.0004608,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,5,5.55,1.51,0.359,-0.18,165,0.069375614,0.005231536,0.006820824,0.00510849,0.0718,0.0047,0.0022976,0.0022976,0.0092,0.0051,0.0002944,0.0002944,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,6,5.55,1.51,0.359,-0.18,195,0.080613733,0.005429495,-0.004564529,0.00520286,0.0793,0.0048,0.0025376,0.0025376,0.00539,0.0052,0.00017248,0.00017248,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,7,5.55,1.51,0.359,-0.18,225,0.076597979,0.005624628,-0.00597061,0.005300864,0.0863,0.0049,0.0027616,0.0027616,-0.00299,0.0053,-0.00009568,-0.00009568,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,8,5.55,1.51,0.359,-0.18,255,0.079520621,0.005607429,-0.010935587,0.005614727,0.0852,0.0049,0.0027264,0.0027264,-0.0127,0.0056,-0.0004064,-0.0004064,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,9,5.55,1.51,0.359,-0.18,285,0.088701614,0.005835072,-0.017172919,0.006006441,0.094,0.005,0.003008,0.003008,-0.00869,0.006,-0.00027808,-0.00027808,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,10,5.55,1.51,0.359,-0.18,315,0.113438335,0.006098552,-0.004925187,0.006400969,0.1045,0.0051,0.003344,0.003344,-0.00348,0.0064,-0.00011136,-0.00011136,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
1,11,5.55,1.51,0.359,-0.18,345,0.107615052,0.006146352,-0.015737766,0.006603108,0.1072,0.0051,0.0034304,0.0034304,-0.00633,0.0066,-0.00020256,-0.00020256,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,0,5.55,1.51,0.359,-0.237,15,0.101846654,0.006710989,0.011255194,0.006808296,0.1055,0.0058,0.003376,0.003376,0.0105,0.0068,0.000336,0.000336,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,1,5.55,1.51,0.359,-0.237,45,0.089636114,0.006137207,0.024244161,0.006239481,0.0967,0.0053,0.0030944,0.0030944,0.0219,0.0062,0.0007008,0.0007008,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,2,5.55,1.51,0.359,-0.237,75,0.084150846,0.005908966,0.011732648,0.005716106,0.0877,0.0052,0.0028064,0.0028064,0.0134,0.0057,0.0004288,0.0004288,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,3,5.55,1.51,0.359,-0.237,105,0.076512509,0.005795999,0.023952584,0.005319171,0.08,0.0052,0.00256,0.00256,0.0141,0.0053,0.0004512,0.0004512,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,4,5.55,1.51,0.359,-0.237,135,0.067325262,0.005537309,-0.003972945,0.004900153,0.0674,0.0051,0.0021568,0.0021568,0.00121,0.0049,0.00003872,0.00003872,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,5,5.55,1.51,0.359,-0.237,165,0.072792695,0.006191388,-0.005146445,0.005100117,0.0677,0.0058,0.0021664,0.0021664,0.00108,0.0051,0.00003456,0.00003456,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,6,5.55,1.51,0.359,-0.237,195,0.065384934,0.006152026,-0.011784949,0.005100322,0.0641,0.0058,0.0020512,0.0020512,-0.00179,0.0051,-0.00005728,-0.00005728,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,7,5.55,1.51,0.359,-0.237,225,0.06948669,0.006033274,0.002094016,0.005100119,0.0775,0.0055,0.00248,0.00248,0.00109,0.0051,0.00003488,0.00003488,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,8,5.55,1.51,0.359,-0.237,255,0.093538422,0.006281153,-0.010455403,0.005512085,0.0889,0.0056,0.0028448,0.0028448,-0.0114,0.0055,-0.0003648,-0.0003648,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,9,5.55,1.51,0.359,-0.237,285,0.099942757,0.006547814,-0.013279964,0.005911465,0.1007,0.0057,0.0032224,0.0032224,-0.0115,0.0059,-0.000368,-0.000368,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,10,5.55,1.51,0.359,-0.237,315,0.094983057,0.006436795,-0.024386513,0.006232617,0.1045,0.0055,0.003344,0.003344,-0.0199,0.0062,-0.0006368,-0.0006368,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
2,11,5.55,1.51,0.359,-0.237,345,0.119633785,0.007090622,0.008878658,0.006800215,0.1229,0.0059,0.0039328,0.0039328,0.00169,0.0068,0.00005408,0.00005408,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,0,5.55,1.52,0.361,-0.298,15,0.110614284,0.009354229,-0.008714083,0.008101961,0.1074,0.0087,0.0034368,0.0034368,0.00557,0.0081,0.00017824,0.00017824,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,1,5.55,1.52,0.361,-0.298,45,0.087134983,0.006587746,0.005823357,0.006405496,0.085,0.006,0.00272,0.00272,0.00829,0.0064,0.00026528,0.00026528,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,2,5.55,1.52,0.361,-0.298,75,0.066449525,0.006131393,0.021286191,0.006026375,0.0706,0.0057,0.0022592,0.0022592,0.0176,0.006,0.0005632,0.0005632,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,3,5.55,1.52,0.361,-0.298,105,0.069933555,0.006240114,0.016704681,0.005910876,0.0635,0.0059,0.002032,0.002032,0.0112,0.0059,0.0003584,0.0003584,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,4,5.55,1.52,0.361,-0.298,135,0.060145794,0.006737474,0.002986863,0.005702026,0.0658,0.0064,0.0021056,0.0021056,0.00475,0.0057,0.000152,0.000152,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,5,5.55,1.52,0.361,-0.298,165,0.063090555,0.008423975,0.003759141,0.006600557,0.0603,0.0082,0.0019296,0.0019296,-0.00268,0.0066,-0.00008576,-0.00008576,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,6,5.55,1.52,0.361,-0.298,195,0.050283524,0.008382079,-0.006491421,0.006902014,0.0543,0.0082,0.0017376,0.0017376,-0.00521,0.0069,-0.00016672,-0.00016672,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,7,5.55,1.52,0.361,-0.298,225,0.061683679,0.007155447,-0.012360534,0.005902437,0.0696,0.0068,0.0022272,0.0022272,-0.0053,0.0059,-0.0001696,-0.0001696,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,8,5.55,1.52,0.361,-0.298,255,0.076013785,0.006785981,0.007496133,0.006100051,0.0705,0.0064,0.002256,0.002256,-0.000777,0.0061,-0.000024864,-0.000024864,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,9,5.55,1.52,0.361,-0.298,285,0.081901553,0.006921901,-0.009656898,0.006320771,0.0824,0.0064,0.0026368,0.0026368,-0.016,0.0063,-0.000512,-0.000512,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,10,5.55,1.52,0.361,-0.298,315,0.085372904,0.00656158,-0.016601084,0.0065121,0.083,0.006,0.002656,0.002656,-0.0124,0.0065,-0.0003968,-0.0003968,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
3,11,5.55,1.52,0.361,-0.298,345,0.092940143,0.008688934,-0.000978308,0.008011313,0.0898,0.0082,0.0028736,0.0028736,-0.0133,0.008,-0.0004256,-0.0004256,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,0,5.55,1.74,0.359,-0.183,7.5,0.09603832,0.004512931,0.011145485,0.004202545,0.0962,0.0033,0.0030784,0.0030784,0.00457,0.0042,0.00014624,0.00014624,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,1,5.55,1.74,0.359,-0.183,22.5,0.078343985,0.004296607,0.011658721,0.004208189,0.0896,0.0032,0.0028672,0.0028672,0.0082,0.0042,0.0002624,0.0002624,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,2,5.55,1.74,0.359,-0.183,37.5,0.090575124,0.004309444,0.000543953,0.004100391,0.0902,0.0032,0.0028864,0.0028864,0.00177,0.0041,0.00005664,0.00005664,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,3,5.55,1.74,0.359,-0.183,52.5,0.085178046,0.004119906,0.001924828,0.004012526,0.0848,0.0031,0.0027136,0.0027136,0.0099,0.004,0.0003168,0.0003168,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,4,5.55,1.74,0.359,-0.183,67.5,0.072878884,0.003737921,0.009314468,0.003708824,0.0737,0.0029,0.0023584,0.0023584,0.00799,0.0037,0.00025568,0.00025568,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,5,5.55,1.74,0.359,-0.183,82.5,0.073343695,0.003548086,0.007557684,0.003612625,0.0681,0.0028,0.0021792,0.0021792,0.00943,0.0036,0.00030176,0.00030176,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,6,5.55,1.74,0.359,-0.183,97.5,0.060536863,0.003293949,0.003412202,0.003303986,0.0632,0.0026,0.0020224,0.0020224,0.00507,0.0033,0.00016224,0.00016224,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,7,5.55,1.74,0.359,-0.183,112.5,0.059832867,0.003094669,0.003862419,0.003201263,0.057,0.0025,0.001824,0.001824,0.00281,0.0032,0.00008992,0.00008992,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,8,5.55,1.74,0.359,-0.183,127.5,0.05203726,0.0029499,0.00569131,0.003002938,0.0536,0.0024,0.0017152,0.0017152,0.00415,0.003,0.0001328,0.0001328,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
