set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
100,5.75,1.64,0.214,-0.34,7.5,0.0,0.0,3.0210943,0.31008393,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,27.62,0.0,0.0,0.99098015,0.07613249,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,37.97,0.6097,0.04957,0.6012458,0.034495845,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,51.74,0.3476,0.0315,0.35168388,0.012634405,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,66.87,0.2082,0.02604,0.22229132,0.008019078,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,81.97,0.1666,0.02617,0.15570275,0.007979287,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,97.06,0.1208,0.01839,0.11798927,0.007713498,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,112.15,0.093,0.01337,0.09523035,0.0074364226,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,127.23,0.0673,0.01514,0.08102039,0.0074388115,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,142.31,0.0576,0.02086,0.07213887,0.0076746894,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,157.38,0.0816,0.03457,0.06691661,0.007961212,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,172.46,0.0767,0.05237,0.06448715,0.008143677,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,187.54,0.0,0.0,0.06448715,0.008143677,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,202.62,0.0632,0.02076,0.06691661,0.007961212,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,217.69,0.0894,0.0267,0.07213887,0.007674689,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,232.77,0.0623,0.01949,0.08102039,0.0074388115,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,247.85,0.078,0.0154,0.09523035,0.007436422,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,262.94,0.1055,0.01704,0.117989205,0.0077134953,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
