phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.00232791,0.0030341253,0.035878778
22.5,0.00198666,0.002924447,0.031884782
37.5,0.00250744,0.0027452018,0.025552636
52.5,0.00176291,0.0025463938,0.018887488
67.5,0.00202673,0.0023627507,0.013185064
82.5,0.00157706,0.0022094508,0.008901068
97.5,0.00178165,0.0020889014,0.005985335
112.5,0.0014468,0.0019978355,0.004194132
127.5,0.00140054,0.0019315153,0.0032348195
142.5,0.00137805,0.0018856021,0.002803992
157.5,0.00138208,0.0018567877,0.0026426641
172.5,0.0013075,0.0018429095,0.0025938936
187.5,0.00143177,0.0018429095,0.0025938938
202.5,0.00143777,0.001856788,0.002642664
217.5,0.0016861,0.0018856024,0.0028039915
232.5,0.00159379,0.001931515,0.0032348204
247.5,0.00125227,0.0019978357,0.0041941293
262.5,0.00164871,0.0020889018,0.0059853313
277.5,0.00193718,0.0022094506,0.0089010615
292.5,0.0022103,0.0023627507,0.013185064
307.5,0.00215941,0.0025463938,0.018887488
322.5,0.0013929,0.0027452018,0.025552627
337.5,0.00274285,0.0029244474,0.03188478
352.5,0.0023349,0.0030341253,0.035878778
