set,ReH_true,ReH_pred,ReH_res,ReH_std,ReE_true,ReE_pred,ReE_res,ReE_std,ReHt_true,ReHt_pred,ReHt_res,ReHt_std,dvcs_true,dvcs_pred,dvcs_res,dvcs_std
21,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.0546029556083676,0.65829456,0.00540761,0.0032504736,0.002157136355415583,0.00048296564
22,-2.47458,-2.0467906,0.42778940017700195,0.2580793,1.90744,-1.2590383,3.166478329124451,1.0334986,0.997661,0.7966545,0.2010064775810242,0.33928028,0.00451394,0.0034138518,0.0011000881614410879,0.0010321354
23,-2.4023,-1.412423,0.9898769853591918,0.5272364,1.72838,-4.4701743,6.198554312591552,1.9580477,0.791362,-0.69692725,1.48828924943161,0.6005489,0.00379441,0.0022476425,0.001546767507124543,0.0012396041
24,-2.31939,-2.7282813,0.4088912595367433,6.4174376,1.57705,-3.0791845,4.656234532165527,9.722154,0.627882,-2.4528396,3.0807216129608155,9.167106,0.00327998,0.0014630876,0.0018168923751297594,0.0060478286
25,-2.19712,-0.9557993,1.2413207184028625,34.560287,1.40402,0.8714124,0.5326076035690308,32.71217,0.453107,5.138661,4.685553907745361,25.759354,0.00274374,0.006587694,0.0038439539333975314,0.020513609
26,-2.4905,-0.90134823,1.5891517667770385,0.2778209,2.12566,-0.54084766,2.666507659111023,0.2677544,1.26632,-1.0722286,2.3385485509109496,0.8292773,0.0036678,0.0020404474,0.0016273525655895473,0.0009187046
27,-2.47617,-1.1368301,1.3393399085235598,0.31366804,1.97669,-1.5609498,3.5376398023986817,0.46044287,1.08222,-0.62625724,1.7084772407722473,0.5100625,0.00321457,0.001482005,0.0017325650017482042,0.0011513836
28,-2.43201,-1.324953,1.1070570399856567,0.5847077,1.83592,-2.1750228,4.010942840499878,1.5110419,0.914557,-0.21949029,1.1340472896881102,0.62228185,0.00278585,0.0018309522,0.0009548977579832076,0.0013625291
29,-2.37858,-1.6214997,0.7570803423690795,1.5705385,1.71407,-3.1877573,4.90182725364685,4.770927,0.777723,-0.117004,0.8947269996504784,1.9892825,0.00246876,0.0017459296,0.0007228304077109694,0.0018918413
30,-2.29327,4.48854,6.781810172576904,19.478176,1.56134,6.200178,4.638838146362305,22.649961,0.614983,4.541987,3.9270039422912597,21.167181,0.00213029,0.004146717,0.0020164270231044293,0.0096183745
