set,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
21,-1.407253,0.08661626,0.36941803,0.1466858,0.96145207,0.39409047,0.0064187637,0.00041723295
22,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
23,-1.1713777,0.25553784,-3.607629,1.1858548,-0.3712147,0.26940084,0.0036300272,0.0004931785
24,-1.8094172,0.54702556,-5.613844,1.8528864,-1.7627826,0.61466974,0.0022060561,0.00046274828
25,-2.5879822,1.758624,-3.2571747,3.587373,-1.012761,2.1928904,0.0025308398,0.0012287804
26,-1.0354152,0.3575087,-0.53538007,0.29770538,-1.9352123,0.78528816,0.0017158132,0.00029901377
27,-1.4785994,0.24447219,-2.0290818,0.49656802,-1.195876,0.5329387,0.0010179831,0.00025955847
28,-1.5688053,0.24187602,-2.9891083,0.83689886,-0.69994634,0.30373734,0.0011992011,0.00063997303
29,-1.2283347,0.36165833,-2.610115,1.1414398,0.40518504,0.39037266,0.0016593819,0.00060897425
30,-1.1041608,0.6061765,-4.4827676,2.1536272,-1.1881366,0.60355467,0.0008579308,0.00044781514
31,-1.025595,0.14299674,-0.6562843,0.14173484,-1.9879323,0.66973907,0.0007883731,0.000444809
32,-1.4810818,0.23134305,-1.7700108,0.30329895,-1.4388504,0.46314555,0.0005955227,0.00023728053
33,-1.4410554,0.25925606,-3.1590478,1.0531754,-0.6835298,0.25746962,0.00045824406,0.00024291339
34,-1.4036412,0.30542773,-2.695192,1.1539173,0.21666813,0.3053759,0.0010177024,0.00031055932
35,-0.6890114,0.55335677,-0.6353851,1.9800344,1.3473791,0.5839338,0.0009988394,0.00069495226
36,-0.8780012,0.13934505,-0.4971894,0.14110242,-4.3482656,1.0547525,0.005812054,0.0005286405
37,-1.0469555,0.25785822,-0.8655332,0.36634484,-3.0975866,0.743915,0.0044590957,0.000495244
38,-0.116068155,0.24510303,-2.9719546,0.36993912,-3.4153013,0.94735813,0.004054844,0.00076360244
39,-2.1768491,0.32313338,-2.6092417,1.225617,-0.6124006,1.7297698,0.006628703,0.0018117577
40,-0.84861743,5.361244,-0.3043242,9.316295,5.2543435,11.278955,0.008744774,0.005155216
41,-0.6898128,0.04965515,-0.23155226,0.055674747,-0.7572839,0.5713139,0.0011974926,8.3044426e-05
42,-1.2932007,0.10613851,-0.5551168,0.11867659,-0.8679007,0.49682152,0.00094076974,0.0001354231
43,-0.994799,0.14303029,-1.3408512,0.23544793,-0.609926,0.36337194,0.0008712156,0.000179017
44,-1.4671918,0.14619179,-1.6685703,0.41048533,-0.609271,0.3815407,0.0009172309,0.0002526676
45,-1.6871156,0.26990375,-1.9576923,0.64710814,0.008051802,0.36222216,0.000873805,0.00019258597
46,-1.9323789,0.064062335,0.67337304,0.05871964,1.4672502,0.5554121,-1.0422431e-05,0.0026375663
47,-0.94898444,0.06157722,-0.8885229,0.093296655,0.5889581,0.2905362,0.0004622992,0.00022936509
48,-1.177611,0.115163445,-0.79363936,0.22546044,0.4768975,0.42546892,0.00039012992,0.00018735063
49,-0.9129734,0.077015944,-0.7042324,0.23552445,0.21507092,0.21749273,0.0005376227,0.00024408773
50,-0.61524403,0.142436,-1.890231,1.4053617,-0.18920328,0.36086616,0.0001728057,0.00019481618
51,-0.57975703,0.03507612,-2.4666593,0.036703445,-0.044254184,0.31144324,5.174633e-05,0.0021664894
52,-2.072387,0.06784442,0.38171253,0.100473896,1.6344918,0.28338978,0.0002907131,0.00013679182
53,-0.901782,0.12174914,-1.178002,0.22795382,0.61884403,0.34858876,0.00018827114,0.00022244308
54,0.034286436,0.009557931,-0.14825834,0.04440725,-0.03867452,0.030026644,0.00018923427,0.00012621934
55,0.120207645,1.0945284,1.2188624,2.9732513,2.2523923,1.901329,0.00028404724,0.00025624255
56,-1.4378486,0.13395153,-1.0616893,0.5673376,0.922531,0.26985598,0.00053620094,0.00074919144
57,-1.1112987,0.004343134,-0.8277716,0.0077162036,0.3551913,0.019961098,0.00026144684,0.0001836714
58,-0.48778442,0.009336034,-0.6356973,0.020041438,0.16617607,0.024640476,0.00026593934,0.00042642502
59,-0.5159544,0.011534514,-0.7858627,0.040401485,0.08576699,0.02319075,0.00026963465,0.000102884944
60,-0.72802174,0.10969466,-0.695884,0.20679209,0.059375837,0.08025443,0.00021031636,9.73821e-05
61,-0.98646694,0.0037012377,-0.41216204,0.0052729114,1.1566834,0.079916105,0.00014953963,0.00019727742
62,-0.55780923,0.089555144,-1.2350453,0.16266762,0.32416034,0.090294115,-9.136196e-05,0.00021839593
63,-0.8040106,0.006531569,-0.9769168,0.015795436,0.3670139,0.034503803,0.00010818184,8.981535e-05
64,-0.7029752,0.010601625,-1.2350144,0.025259884,0.46874315,0.035319757,0.00012986871,0.00012810767
