phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.02745,0.02594164,0.0006411877
22.5,0.02291,0.025235003,0.00058984174
37.5,0.02277,0.023957293,0.0005026743
52.5,0.02077,0.02232443,0.00040640277
67.5,0.02182,0.020560324,0.00033298906
82.5,0.01831,0.018845651,0.0003076418
97.5,0.01753,0.017300365,0.00032770788
112.5,0.01642,0.015990293,0.0003685161
127.5,0.01565,0.014943289,0.00041030368
142.5,0.01412,0.014165225,0.00044414768
157.5,0.01291,0.013652044,0.000467111
172.5,0.01295,0.013397487,0.00047858522
187.5,0.01221,0.013397487,0.00047858522
202.5,0.01352,0.013652044,0.00046711098
217.5,0.01328,0.014165225,0.00044414768
232.5,0.01609,0.014943287,0.00041030365
247.5,0.01518,0.015990293,0.00036851646
262.5,0.01853,0.017300364,0.0003277083
277.5,0.02088,0.018845651,0.0003076419
292.5,0.02143,0.020560324,0.00033298906
307.5,0.0225,0.02232443,0.00040640277
322.5,0.02521,0.023957293,0.0005026741
337.5,0.0237,0.025235003,0.00058984145
352.5,0.0257,0.02594164,0.0006411877
