set,k,QQ,x_b,t,phi_x,F_function,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,7.5,0.14827196355727112,0.15216393298970682,0.006537310732367183,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,22.5,0.14193950672735395,0.14174411829972192,0.005649192289068326,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,37.5,0.13090358185965376,0.13565976930445506,0.005508422730272002,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,52.5,0.11755526301669728,0.1163073138253102,0.004946725472787546,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,67.5,0.10405528883362206,0.10490859761773622,0.00424753676850171,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,82.5,0.09182283145572404,0.09296114152943692,0.00391991680597955,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,97.5,0.08153165192606704,0.08664830715634736,0.00378551453147514,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,112.5,0.07334221762984158,0.07502343999700781,0.00347422097187835,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,127.5,0.06714710147739034,0.06524771074232484,0.00322306089893069,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,142.5,0.0627438131523292,0.06205996932724213,0.0031560136994649994,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,157.5,0.05993305476515959,0.05924253204614551,0.003026619371023068,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
