phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0798726,0.08077185,0.0022024761
22.5,0.0752171,0.07677698,0.0019890456
37.5,0.0605232,0.070111394,0.0016703046
52.5,0.0679057,0.06251004,0.0013847458
67.5,0.0522419,0.05528034,0.0012176484
82.5,0.0483993,0.04907866,0.0011665715
97.5,0.0429759,0.044083975,0.0011791075
112.5,0.0403152,0.04023329,0.0012105762
127.5,0.0360796,0.037381105,0.0012400745
142.5,0.0366866,0.035379685,0.0012615293
157.5,0.0364531,0.03411107,0.0012747372
172.5,0.032309,0.03349629,0.0012809031
187.5,0.0316282,0.03349629,0.001280903
202.5,0.0343028,0.03411107,0.0012747374
217.5,0.032196,0.035379685,0.0012615293
232.5,0.0412522,0.0373811,0.0012400745
247.5,0.0377877,0.04023328,0.0012105762
262.5,0.0413854,0.044083975,0.0011791072
277.5,0.050904,0.04907865,0.0011665715
292.5,0.0580061,0.05528034,0.0012176484
307.5,0.0652462,0.06251004,0.0013847458
322.5,0.0764457,0.07011138,0.0016703046
337.5,0.0794835,0.07677698,0.0019890466
352.5,0.0790978,0.08077185,0.0022024757
