set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1,5.75,1.82,0.343,-0.172,7.5,0.113237,0.0019439281,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,22.5,0.111495,0.00158404,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,37.5,0.100762,0.0017707264,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,52.5,0.0961192,0.0017707264,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,67.5,0.0849277,0.0016662724,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,82.5,0.0811181,0.0018224361,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,97.5,0.0717791,0.0021557449,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,112.5,0.0583896,0.0022439169,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,127.5,0.0608682,0.002304,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,142.5,0.0581145,0.00253009,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,157.5,0.0460083,0.00255025,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,172.5,0.050616,0.00249,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,187.5,0.0547436,0.0024690961,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,202.5,0.0598724,0.0022439169,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,217.5,0.0542466,0.0025090081,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,232.5,0.0555935,0.0022877089,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,247.5,0.0624109,0.0022259524,-2.56464,2.21195,1.39564,0.0315875
