set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1,5.75,1.82,0.343,-0.172,7.5,0.113237,0.00492,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,22.5,0.111495,0.00468,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,37.5,0.100762,0.0042,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,52.5,0.0961192,0.00396,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,67.5,0.0849277,0.0036,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,82.5,0.0811181,0.00336,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,97.5,0.0717791,0.00312,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,112.5,0.0583896,0.00288,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,127.5,0.0608682,0.00276,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,142.5,0.0581145,0.00252,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,157.5,0.0460083,0.00252,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,172.5,0.050616,0.0024,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,187.5,0.0547436,0.0024,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,202.5,0.0598724,0.00252,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,217.5,0.0542466,0.00264,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,232.5,0.0555935,0.00264,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,247.5,0.0624109,0.00276,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,262.5,0.0717532,0.00288,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,277.5,0.0695542,0.00324,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,292.5,0.0834381,0.00348,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,307.5,0.094451,0.00384,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,322.5,0.101951,0.0042,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,337.5,0.114951,0.00456,-2.56464,2.21195,1.39564,0.0315875
1,5.75,1.82,0.343,-0.172,352.5,0.112797,0.0048,-2.56464,2.21195,1.39564,0.0315875
2,5.75,1.933,0.368,-0.232,7.5,0.0798726,0.00504,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,22.5,0.0752171,0.00444,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,37.5,0.0605232,0.00384,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,52.5,0.0679057,0.0036,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,67.5,0.0522419,0.00324,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,82.5,0.0483993,0.00288,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,97.5,0.0429759,0.00252,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,112.5,0.0403152,0.0024,-2.48378,2.05692,1.17942,0.0227145
