set,k,QQ,x_b,t,phi_x,F_function,F,sigmaF,ReH,ReE,ReHt,dvcs
55.0,10.992,7.1,0.498,-0.8556,0.0,0.0010827879070163724,0.0010827879070163724,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,0.36,0.0010797946305439977,0.0010797946305439977,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,0.72,0.0010768073466166615,0.0010768073466166615,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,1.08,0.001073826055234364,0.001073826055234364,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,1.44,0.0010708507563971046,0.0010708507563971046,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,1.7999999999999998,0.001067881450104884,0.001067881450104884,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,2.16,0.0010649181363577018,0.0010649181363577018,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,2.52,0.001061960815155558,0.001061960815155558,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,2.88,0.001059009486498453,0.001059009486498453,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,3.2399999999999998,0.0010560641503863863,0.0010560641503863863,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,3.5999999999999996,0.0010531248068193582,0.0010531248068193582,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,3.96,0.0010501914557973684,0.0010501914557973684,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,4.32,0.0010472640973204174,0.0010472640973204174,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,4.68,0.0010443427313885046,0.0010443427313885046,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,5.04,0.0010414273580016304,0.0010414273580016304,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,5.3999999999999995,0.0010385179771597948,0.0010385179771597948,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,5.76,0.0010356145888629977,0.0010356145888629977,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,6.12,0.0010327171931112389,0.0010327171931112389,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
