phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.41,0.1386,0.15151797,0.00797342
22.26,0.1244,0.1324351,0.0067441594
37.17,0.1003,0.10427901,0.0051154573
52.13,0.0927,0.07702117,0.003928978
67.13,0.0442,0.05514915,0.003462349
82.15,0.0592,0.03912564,0.0034558105
97.18,0.0,0.027882531,0.0035866494
112.23,0.029,0.020160703,0.003711439
127.28,0.0251,0.014963487,0.003797779
142.34,0.0,0.011577336,0.0038496684
157.4,0.0,0.009543672,0.0038774237
172.46,0.0,0.008589526,0.0038892236
187.54,0.0,0.008589525,0.0038892236
202.6,0.0,0.009543671,0.0038774237
217.66,0.0,0.011577326,0.003849668
232.72,0.0,0.014963487,0.003797779
247.77,0.0517,0.020160703,0.0037114392
262.82,0.0,0.027882531,0.0035866497
277.85,0.0515,0.039125625,0.0034558105
292.87,0.0914,0.05514915,0.0034623488
307.87,0.1111,0.07702111,0.0039289766
322.83,0.0987,0.10427896,0.0051154536
337.74,0.1337,0.13243501,0.006744154
352.59,0.1516,0.15151787,0.007973415
