index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,4,2.75,1.21724,0.506752,-0.57356,18,0.5437767,0.13371001,2.22878,-2.76758,5.46996,0.090805
1,4,2.75,1.21724,0.506752,-0.57356,36,0.24967964,0.027365388,2.22878,-2.76758,5.46996,0.090805
2,4,2.75,1.21724,0.506752,-0.57356,54,0.13885538,0.009777332,2.22878,-2.76758,5.46996,0.090805
3,4,2.75,1.21724,0.506752,-0.57356,72,0.098863885,0.0060798726,2.22878,-2.76758,5.46996,0.090805
4,4,2.75,1.21724,0.506752,-0.57356,90,0.08491544,0.0042935046,2.22878,-2.76758,5.46996,0.090805
5,4,2.75,1.21724,0.506752,-0.57356,108,0.08091068,0.003166306,2.22878,-2.76758,5.46996,0.090805
6,4,2.75,1.21724,0.506752,-0.57356,126,0.08065662,0.0024527183,2.22878,-2.76758,5.46996,0.090805
7,4,2.75,1.21724,0.506752,-0.57356,144,0.08155546,0.002034697,2.22878,-2.76758,5.46996,0.090805
8,4,2.75,1.21724,0.506752,-0.57356,162,0.08243721,0.0018284034,2.22878,-2.76758,5.46996,0.090805
9,4,2.75,1.21724,0.506752,-0.57356,180,0.0827812,0.0017684874,2.22878,-2.76758,5.46996,0.090805
10,4,2.75,1.21724,0.506752,-0.57356,198,0.08243721,0.0018284038,2.22878,-2.76758,5.46996,0.090805
11,4,2.75,1.21724,0.506752,-0.57356,216,0.08155546,0.0020346965,2.22878,-2.76758,5.46996,0.090805
12,4,2.75,1.21724,0.506752,-0.57356,234,0.08065662,0.0024527179,2.22878,-2.76758,5.46996,0.090805
13,4,2.75,1.21724,0.506752,-0.57356,252,0.08091068,0.003166305,2.22878,-2.76758,5.46996,0.090805
14,4,2.75,1.21724,0.506752,-0.57356,270,0.08491544,0.0042935056,2.22878,-2.76758,5.46996,0.090805
15,4,2.75,1.21724,0.506752,-0.57356,288,0.098863885,0.0060798726,2.22878,-2.76758,5.46996,0.090805
16,4,2.75,1.21724,0.506752,-0.57356,306,0.1388553,0.0097773215,2.22878,-2.76758,5.46996,0.090805
17,4,2.75,1.21724,0.506752,-0.57356,324,0.24967945,0.02736536,2.22878,-2.76758,5.46996,0.090805
18,4,2.75,1.21724,0.506752,-0.57356,342,0.54377604,0.13370962,2.22878,-2.76758,5.46996,0.090805
19,4,2.75,1.21724,0.506752,-0.57356,360,0.9114287,0.38878918,2.22878,-2.76758,5.46996,0.090805
