index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,3,2.75,1.07866,0.481474,-0.50101,14,0.81133115,0.1971151,1.7159,-2.38366,4.84918,0.099768
1,3,2.75,1.07866,0.481474,-0.50101,28,0.45168075,0.06299641,1.7159,-2.38366,4.84918,0.099768
2,3,2.75,1.07866,0.481474,-0.50101,42,0.25471634,0.021399142,1.7159,-2.38366,4.84918,0.099768
3,3,2.75,1.07866,0.481474,-0.50101,56,0.16178128,0.0105552105,1.7159,-2.38366,4.84918,0.099768
4,3,2.75,1.07866,0.481474,-0.50101,70,0.118930236,0.0070610354,1.7159,-2.38366,4.84918,0.099768
5,3,2.75,1.07866,0.481474,-0.50101,84,0.09954279,0.00523706,1.7159,-2.38366,4.84918,0.099768
6,3,2.75,1.07866,0.481474,-0.50101,98,0.09131658,0.004034064,1.7159,-2.38366,4.84918,0.099768
7,3,2.75,1.07866,0.481474,-0.50101,112,0.088443995,0.0031976749,1.7159,-2.38366,4.84918,0.099768
8,3,2.75,1.07866,0.481474,-0.50101,126,0.088061206,0.0026195126,1.7159,-2.38366,4.84918,0.099768
9,3,2.75,1.07866,0.481474,-0.50101,140,0.08868563,0.0022369644,1.7159,-2.38366,4.84918,0.099768
10,3,2.75,1.07866,0.481474,-0.50101,154,0.08951874,0.0020053235,1.7159,-2.38366,4.84918,0.099768
11,3,2.75,1.07866,0.481474,-0.50101,168,0.09012836,0.0018880055,1.7159,-2.38366,4.84918,0.099768
12,3,2.75,1.07866,0.481474,-0.50101,182,0.090303496,0.0018592965,1.7159,-2.38366,4.84918,0.099768
13,3,2.75,1.07866,0.481474,-0.50101,196,0.0899926,0.0019116411,1.7159,-2.38366,4.84918,0.099768
14,3,2.75,1.07866,0.481474,-0.50101,210,0.08928959,0.0020583842,1.7159,-2.38366,4.84918,0.099768
15,3,2.75,1.07866,0.481474,-0.50101,224,0.08845969,0.0023290892,1.7159,-2.38366,4.84918,0.099768
16,3,2.75,1.07866,0.481474,-0.50101,238,0.08801973,0.0027624907,1.7159,-2.38366,4.84918,0.099768
17,3,2.75,1.07866,0.481474,-0.50101,252,0.08892004,0.0034067715,1.7159,-2.38366,4.84918,0.099768
18,3,2.75,1.07866,0.481474,-0.50101,266,0.09294155,0.0043336325,1.7159,-2.38366,4.84918,0.099768
19,3,2.75,1.07866,0.481474,-0.50101,280,0.103571825,0.0056755845,1.7159,-2.38366,4.84918,0.099768
20,3,2.75,1.07866,0.481474,-0.50101,294,0.12797941,0.007791258,1.7159,-2.38366,4.84918,0.099768
21,3,2.75,1.07866,0.481474,-0.50101,308,0.181496,0.012384946,1.7159,-2.38366,4.84918,0.099768
22,3,2.75,1.07866,0.481474,-0.50101,322,0.29716402,0.028302914,1.7159,-2.38366,4.84918,0.099768
23,3,2.75,1.07866,0.481474,-0.50101,336,0.5375793,0.08833253,1.7159,-2.38366,4.84918,0.099768
24,3,2.75,1.07866,0.481474,-0.50101,350,0.9279514,0.25689864,1.7159,-2.38366,4.84918,0.099768
