,k,QQ,x_b,t,phi_x,F,errF,ReH,ReE,ReHt,dvcs
0,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,0.0,0.23860743641853333,0.0062870793044567,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
1,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,10.0,0.22637486457824707,0.0060480207204818,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
2,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,20.0,0.19551777839660645,0.0054380841553211,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
3,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,30.0,0.15792489051818848,0.0046775866299867,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
4,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,40.0,0.12284330278635025,0.0039424549788236,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
5,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,50.0,0.09421909600496292,0.0033139996230602,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
6,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,60.0,0.07242836803197861,0.0028078217059373,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
7,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,70.0,0.05639041215181351,0.0024107869714498,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
8,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,80.0,0.04474988952279091,0.002102305740118,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
9,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,90.0,0.03632749989628792,0.0018629908561706,-0.01742647774517536,-0.0431302934885025,-0.009183324873447418,0.004951111972332001
