,k,QQ,x_b,t,phi_x,F,errF,dvcs
0,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,0.0,0.12390558691160036,0.0062870793044567,0.0168378178968368
1,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,10.0,0.11861346638515996,0.0060480207204818,0.0168378178968368
2,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,20.0,0.115132672618372,0.0054380841553211,0.0168378178968368
3,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,30.0,0.09287878399028411,0.0046775866299867,0.0168378178968368
4,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,40.0,0.08268481932901707,0.0039424549788236,0.0168378178968368
5,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,50.0,0.06099050148549025,0.0033139996230602,0.0168378178968368
6,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,60.0,0.054197047733027415,0.0028078217059373,0.0168378178968368
7,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,70.0,0.04679258601494294,0.0024107869714498,0.0168378178968368
8,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,80.0,0.04497123067409721,0.002102305740118,0.0168378178968368
9,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,90.0,0.036588900241225596,0.0018629908561706,0.0168378178968368
10,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,100.0,0.03403485744512313,0.0016770910471677,0.0168378178968368
11,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,110.0,0.033169880329521145,0.0015325611457228,0.0168378178968368
12,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,120.0,0.028226479593056315,0.0014204340055584,0.0168378178968368
13,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,130.0,0.027362845625730062,0.0013341223821043,0.0168378178968368
14,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,140.0,0.02476575874569105,0.0012688338756561,0.0168378178968368
15,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,150.0,0.023894905186179743,0.0012211291119456,0.0168378178968368
16,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,160.0,0.021940088060230283,0.0011886075139045,0.0168378178968368
17,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,170.0,0.022779978285660606,0.0011696905829012,0.0168378178968368
18,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,180.0,0.0223809793870509,0.0011634815484285,0.0168378178968368
19,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,190.0,0.025237654276525204,0.0011696906760334,0.0168378178968368
20,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,200.0,0.024300356578642976,0.0011886076070368,0.0168378178968368
21,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,210.0,0.023858032241466102,0.0012211292050778,0.0168378178968368
22,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,220.0,0.02657301253280549,0.0012688336893916,0.0168378178968368
23,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,230.0,0.02536632550386014,0.0013341223821043,0.0168378178968368
24,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,240.0,0.0279965091569232,0.0014204340055584,0.0168378178968368
25,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,250.0,0.02870094862011907,0.0015325605869293,0.0168378178968368
26,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,260.0,0.03179895262428309,0.0016770910471677,0.0168378178968368
27,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,270.0,0.037987010957774486,0.0018629908561706,0.0168378178968368
28,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,280.0,0.04009257825778475,0.002102306112647,0.0168378178968368
29,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,290.0,0.05022269179204719,0.0024107862263917,0.0168378178968368
30,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,300.0,0.05916749609981732,0.0028078217059373,0.0168378178968368
31,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,310.0,0.06136522054232824,0.0033139996230602,0.0168378178968368
32,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,320.0,0.07996063510828136,0.0039424523711204,0.0168378178968368
33,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,330.0,0.09728340956589372,0.0046775866299867,0.0168378178968368
34,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,340.0,0.10691327999500884,0.0054380841553211,0.0168378178968368
35,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,350.0,0.12536321047376614,0.0060480196028947,0.0168378178968368
36,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,360.0,0.12938745125211118,0.0062870793044567,0.0168378178968368
