set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,7.5,0.18401318137835745,0.0077817175,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,22.5,0.1596610590903697,0.006679942,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,37.5,0.15284500036108642,0.0064297747,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,52.5,0.14157434729647875,0.0056685605,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,67.5,0.11317705151843653,0.004757624,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,82.5,0.10553009921500629,0.0042796573,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,97.5,0.08974701921491501,0.004024452,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,112.5,0.07852227462756706,0.003599958,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,127.5,0.06289442510377592,0.0032641694,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,142.5,0.0660856274188185,0.0031375845,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,157.5,0.06006198561029501,0.002970099,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,172.5,0.05743751858201792,0.002848783,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,187.5,0.055548301339395374,0.0028367941,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,202.5,0.06260789473710954,0.0027860117,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,217.5,0.06743566277564175,0.0031244855,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,232.5,0.06507254470729146,0.0032526087,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,247.5,0.07361774513993205,0.0035855179,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,262.5,0.08524057616272021,0.0039559766,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,277.5,0.09929146622269262,0.0043779016,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
