,k,QQ,x_b,t,phi_x,F,ReH,ReE,ReHt,dvcs
0,2.5,1.0,0.24,-1.0,0.0,0.11523857712745667,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
1,2.5,1.0,0.24,-1.0,15.0,0.11170868575572968,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
2,2.5,1.0,0.24,-1.0,30.0,0.10297895967960358,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
3,2.5,1.0,0.24,-1.0,45.0,0.0927281603217125,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
4,2.5,1.0,0.24,-1.0,60.0,0.0836101770401001,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
5,2.5,1.0,0.24,-1.0,75.0,0.07654839754104614,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
6,2.5,1.0,0.24,-1.0,90.0,0.07144230604171753,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
7,2.5,1.0,0.24,-1.0,105.0,0.06787016242742538,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
8,2.5,1.0,0.24,-1.0,120.0,0.06541889905929565,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
9,2.5,1.0,0.24,-1.0,135.0,0.06377604603767395,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
10,2.5,1.0,0.24,-1.0,150.0,0.06273017078638077,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
11,2.5,1.0,0.24,-1.0,165.0,0.06214974820613861,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
12,2.5,1.0,0.24,-1.0,180.0,0.06196373328566551,-0.5758018493652344,-0.2923724949359894,-0.2909538745880127,0.05212314426898956
13,2.5,1.0,0.24,-0.92,0.0,0.13679489493370056,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
14,2.5,1.0,0.24,-0.92,15.0,0.1318596452474594,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
15,2.5,1.0,0.24,-0.92,30.0,0.11969365179538727,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
16,2.5,1.0,0.24,-0.92,45.0,0.10548613220453262,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
17,2.5,1.0,0.24,-0.92,60.0,0.0929320901632309,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
18,2.5,1.0,0.24,-0.92,75.0,0.08327622711658478,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
19,2.5,1.0,0.24,-0.92,90.0,0.07634149491786957,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
20,2.5,1.0,0.24,-0.92,105.0,0.07152043282985687,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
21,2.5,1.0,0.24,-0.92,120.0,0.06823049485683441,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
22,2.5,1.0,0.24,-0.92,135.0,0.06603579223155975,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
23,2.5,1.0,0.24,-0.92,150.0,0.06464363634586334,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
