,k,QQ,x_b,t,phi_x,F,ReH,ReE,ReHt,dvcs
0,2.5,1.0,0.24,-1.0,0.0,-0.026350237429142,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
1,2.5,1.0,0.24,-1.0,15.0,-0.029969606548547745,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
2,2.5,1.0,0.24,-1.0,30.0,-0.03890489414334297,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
3,2.5,1.0,0.24,-1.0,45.0,-0.049362048506736755,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
4,2.5,1.0,0.24,-1.0,60.0,-0.058620914816856384,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
5,2.5,1.0,0.24,-1.0,75.0,-0.06575328856706619,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
6,2.5,1.0,0.24,-1.0,90.0,-0.07088133692741394,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
7,2.5,1.0,0.24,-1.0,105.0,-0.07444939017295837,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
8,2.5,1.0,0.24,-1.0,120.0,-0.07688606530427933,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
9,2.5,1.0,0.24,-1.0,135.0,-0.07851270586252213,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
10,2.5,1.0,0.24,-1.0,150.0,-0.07954519987106323,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
11,2.5,1.0,0.24,-1.0,165.0,-0.08011707663536072,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
12,2.5,1.0,0.24,-1.0,180.0,-0.08030018210411072,-0.488016277551651,-0.15809717774391174,-0.28843995928764343,-0.08968763798475266
13,2.5,1.0,0.24,-0.92,0.0,-0.0036647990345954895,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
14,2.5,1.0,0.24,-0.92,15.0,-0.008698120713233948,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
15,2.5,1.0,0.24,-0.92,30.0,-0.02108936756849289,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
16,2.5,1.0,0.24,-0.92,45.0,-0.03552314639091492,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
17,2.5,1.0,0.24,-0.92,60.0,-0.04823213443160057,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
18,2.5,1.0,0.24,-0.92,75.0,-0.057966288179159164,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
19,2.5,1.0,0.24,-0.92,90.0,-0.06492610275745392,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
20,2.5,1.0,0.24,-0.92,105.0,-0.0697435662150383,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
21,2.5,1.0,0.24,-0.92,120.0,-0.0730181485414505,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
22,2.5,1.0,0.24,-0.92,135.0,-0.07519546151161194,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
23,2.5,1.0,0.24,-0.92,150.0,-0.07657315582036972,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
24,2.5,1.0,0.24,-0.92,165.0,-0.07733460515737534,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
25,2.5,1.0,0.24,-0.92,180.0,-0.07757812738418579,-0.47763592004776,-0.15599694848060608,-0.2829649746417999,-0.08969035744667053
26,2.5,1.0,0.24,-0.84,0.0,0.030686452984809875,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
27,2.5,1.0,0.24,-0.84,15.0,0.02339116483926773,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
28,2.5,1.0,0.24,-0.84,30.0,0.005541376769542694,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
29,2.5,1.0,0.24,-0.84,45.0,-0.01505257934331894,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
30,2.5,1.0,0.24,-0.84,60.0,-0.03300470486283302,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
31,2.5,1.0,0.24,-0.84,75.0,-0.04663289710879326,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
32,2.5,1.0,0.24,-0.84,90.0,-0.05630486086010933,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
33,2.5,1.0,0.24,-0.84,105.0,-0.06295880675315857,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
34,2.5,1.0,0.24,-0.84,120.0,-0.0674591213464737,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
35,2.5,1.0,0.24,-0.84,135.0,-0.07043944299221039,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
36,2.5,1.0,0.24,-0.84,150.0,-0.07231950014829636,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
37,2.5,1.0,0.24,-0.84,165.0,-0.07335644960403442,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
38,2.5,1.0,0.24,-0.84,180.0,-0.07368774712085724,-0.4672231376171112,-0.15388604998588562,-0.27746978402137756,-0.08968871086835861
39,2.5,1.0,0.24,-0.76,0.0,0.08487441390752792,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
40,2.5,1.0,0.24,-0.76,15.0,0.07375489920377731,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
41,2.5,1.0,0.24,-0.76,30.0,0.04683118313550949,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
42,2.5,1.0,0.24,-0.76,45.0,0.016256041824817657,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
43,2.5,1.0,0.24,-0.76,60.0,-0.009981140494346619,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
44,2.5,1.0,0.24,-0.76,75.0,-0.029642712324857712,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
45,2.5,1.0,0.24,-0.76,90.0,-0.043459709733724594,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
46,2.5,1.0,0.24,-0.76,105.0,-0.0528954342007637,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
47,2.5,1.0,0.24,-0.76,120.0,-0.05924181640148163,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
48,2.5,1.0,0.24,-0.76,135.0,-0.06342718750238419,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
49,2.5,1.0,0.24,-0.76,150.0,-0.0660594254732132,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
50,2.5,1.0,0.24,-0.76,165.0,-0.06750836223363876,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
51,2.5,1.0,0.24,-0.76,180.0,-0.06797082722187042,-0.4567793309688568,-0.15176495909690857,-0.27195507287979126,-0.08968295902013779
52,2.5,1.0,0.24,-0.6799999999999999,0.0,0.17478173971176147,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
53,2.5,1.0,0.24,-0.6799999999999999,15.0,0.15673252940177917,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
54,2.5,1.0,0.24,-0.6799999999999999,30.0,0.11374013870954514,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
55,2.5,1.0,0.24,-0.6799999999999999,45.0,0.06608510762453079,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
56,2.5,1.0,0.24,-0.6799999999999999,60.0,0.026130251586437225,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
57,2.5,1.0,0.24,-0.6799999999999999,75.0,-0.003270566463470459,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
58,2.5,1.0,0.24,-0.6799999999999999,90.0,-0.023663856089115143,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
59,2.5,1.0,0.24,-0.6799999999999999,105.0,-0.03746441379189491,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
60,2.5,1.0,0.24,-0.6799999999999999,120.0,-0.04668760672211647,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
61,2.5,1.0,0.24,-0.6799999999999999,135.0,-0.052743058651685715,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
62,2.5,1.0,0.24,-0.6799999999999999,150.0,-0.05653964728116989,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
63,2.5,1.0,0.24,-0.6799999999999999,165.0,-0.05862540379166603,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
64,2.5,1.0,0.24,-0.6799999999999999,180.0,-0.05929049104452133,-0.44630587100982666,-0.14963412284851074,-0.2664218842983246,-0.08967321366071701
65,2.5,1.0,0.24,-0.6,0.0,0.3338601291179657,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
66,2.5,1.0,0.24,-0.6,15.0,0.3020786643028259,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
67,2.5,1.0,0.24,-0.6,30.0,0.22824737429618835,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
68,2.5,1.0,0.24,-0.6,45.0,0.14931520819664001,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
69,2.5,1.0,0.24,-0.6,60.0,0.08531736582517624,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
70,2.5,1.0,0.24,-0.6,75.0,0.03939936310052872,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
71,2.5,1.0,0.24,-0.6,90.0,0.008095145225524902,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
72,2.5,1.0,0.24,-0.6,105.0,-0.01284857839345932,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
73,2.5,1.0,0.24,-0.6,120.0,-0.026740863919258118,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
74,2.5,1.0,0.24,-0.6,135.0,-0.035816457122564316,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
75,2.5,1.0,0.24,-0.6,150.0,-0.04148804768919945,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
76,2.5,1.0,0.24,-0.6,165.0,-0.04459770396351814,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
77,2.5,1.0,0.24,-0.6,180.0,-0.04558832570910454,-0.4358043372631073,-0.14749395847320557,-0.26087111234664917,-0.08965975791215897
78,2.5,1.0,0.24,-0.52,0.0,0.6404107809066772,-0.42527610063552856,-0.14534492790699005,-0.25530362129211426,-0.0896427184343338
