,k,QQ,x_b,t,phi_x,F,errF,dvcs
0,2.5,1.0,0.24,-1.0,0.0,0.12295105278126833,0.0051368315547274,0.0556088462471961
1,2.5,1.0,0.24,-1.0,15.0,0.11159022313972143,0.0050819721630344,0.0556088462471961
2,2.5,1.0,0.24,-1.0,30.0,0.09856507954301097,0.0049535823257582,0.0556088462471961
3,2.5,1.0,0.24,-1.0,45.0,0.10540577151230386,0.0048193077347584,0.0556088462471961
4,2.5,1.0,0.24,-1.0,60.0,0.09167739567895766,0.0047204997167807,0.0556088462471961
5,2.5,1.0,0.24,-1.0,75.0,0.08074860561258324,0.0046633854686924,0.0556088462471961
6,2.5,1.0,0.24,-1.0,90.0,0.07628575431696302,0.0046376074024719,0.0556088462471961
7,2.5,1.0,0.24,-1.0,105.0,0.07925667334768928,0.0046307321978086,0.0556088462471961
8,2.5,1.0,0.24,-1.0,120.0,0.06957684427727925,0.0046333716441966,0.0556088462471961
9,2.5,1.0,0.24,-1.0,135.0,0.07284044403373946,0.0046395566942156,0.0556088462471961
10,2.5,1.0,0.24,-1.0,150.0,0.06554271822263573,0.0046457996961513,0.0556088462471961
11,2.5,1.0,0.24,-1.0,165.0,0.07052747126424988,0.0046501671633282,0.0556088462471961
12,2.5,1.0,0.24,-1.0,180.0,0.06070372225744211,0.0046517186941889,0.0556088462471961
13,2.5,1.0,0.24,-0.92,0.0,0.13253173588999023,0.0053544831487938,0.0546394418925046
14,2.5,1.0,0.24,-0.92,15.0,0.14101750190296192,0.0052944344263778,0.0546394418925046
15,2.5,1.0,0.24,-0.92,30.0,0.12243156605157456,0.0051540854208366,0.0546394418925046
16,2.5,1.0,0.24,-0.92,45.0,0.11299197507188845,0.0050074723399353,0.0546394418925046
17,2.5,1.0,0.24,-0.92,60.0,0.09183716132407704,0.004899623822952,0.0546394418925046
18,2.5,1.0,0.24,-0.92,75.0,0.07999657268950179,0.0048371885352392,0.0546394418925046
19,2.5,1.0,0.24,-0.92,90.0,0.08018327440003584,0.0048088500479717,0.0546394418925046
20,2.5,1.0,0.24,-0.92,105.0,0.07408034179420829,0.0048010634177093,0.0546394418925046
21,2.5,1.0,0.24,-0.92,120.0,0.07539282706150502,0.0048036607172487,0.0546394418925046
22,2.5,1.0,0.24,-0.92,135.0,0.07034712968570071,0.0048101671369877,0.0546394418925046
23,2.5,1.0,0.24,-0.92,150.0,0.06373154707045747,0.0048167841922039,0.0546394418925046
24,2.5,1.0,0.24,-0.92,165.0,0.06248424344036732,0.0048214308822522,0.0546394418925046
25,2.5,1.0,0.24,-0.92,180.0,0.06561508163580826,0.0048230851460562,0.0546394418925046
26,2.5,1.0,0.24,-0.84,0.0,0.17399060527421714,0.0055820023737677,0.0536671075969934
27,2.5,1.0,0.24,-0.84,15.0,0.16361757340337446,0.0055146095629987,0.0536671075969934
28,2.5,1.0,0.24,-0.84,30.0,0.14506728654942164,0.0053576546991442,0.0536671075969934
29,2.5,1.0,0.24,-0.84,45.0,0.1334190718450047,0.0051945780055434,0.0536671075969934
30,2.5,1.0,0.24,-0.84,60.0,0.10741158946373947,0.0050750969583711,0.0536671075969934
31,2.5,1.0,0.24,-0.84,75.0,0.09150822426223762,0.0050059761268132,0.0536671075969934
32,2.5,1.0,0.24,-0.84,90.0,0.08072195529351432,0.0049743923322104,0.0536671075969934
33,2.5,1.0,0.24,-0.84,105.0,0.08820076773547574,0.0049654097851215,0.0536671075969934
34,2.5,1.0,0.24,-0.84,120.0,0.07650406093491716,0.0049678701074033,0.0536671075969934
35,2.5,1.0,0.24,-0.84,135.0,0.07389415642886767,0.0049746715550817,0.0536671075969934
36,2.5,1.0,0.24,-0.84,150.0,0.07179984541117584,0.0049816890053589,0.0536671075969934
37,2.5,1.0,0.24,-0.84,165.0,0.06892788281500777,0.0049866359917028,0.0536671075969934
38,2.5,1.0,0.24,-0.84,180.0,0.06673537593929238,0.0049884008909842,0.0536671075969934
39,2.5,1.0,0.24,-0.76,0.0,0.22189598357372414,0.0058257586721304,0.0526920221745967
40,2.5,1.0,0.24,-0.76,15.0,0.22040175239004708,0.0057476605618397,0.0526920221745967
41,2.5,1.0,0.24,-0.76,30.0,0.1816008765974148,0.0055671561463796,0.0526920221745967
42,2.5,1.0,0.24,-0.76,45.0,0.16283317357374236,0.0053816257192348,0.0526920221745967
43,2.5,1.0,0.24,-0.76,60.0,0.12857660320134934,0.005246850634409,0.0526920221745967
44,2.5,1.0,0.24,-0.76,75.0,0.1149727839271642,0.0051691107723307,0.0526920221745967
45,2.5,1.0,0.24,-0.76,90.0,0.10035017299783153,0.0051333597080813,0.0526920221745967
46,2.5,1.0,0.24,-0.76,105.0,0.09143844879014121,0.0051227703123929,0.0526920221745967
47,2.5,1.0,0.24,-0.76,120.0,0.08324235896514272,0.005124919801667,0.0526920221745967
48,2.5,1.0,0.24,-0.76,135.0,0.07414823739506603,0.0051319846671486,0.0526920221745967
49,2.5,1.0,0.24,-0.76,150.0,0.08231903194273955,0.0051394130491987,0.0526920221745967
50,2.5,1.0,0.24,-0.76,165.0,0.08050674090108495,0.0051446761369065,0.0526920221745967
51,2.5,1.0,0.24,-0.76,180.0,0.07649848637565565,0.0051465569400213,0.0526920221745967
52,2.5,1.0,0.24,-0.6799999999999999,0.0,0.3131154281963037,0.0060970263258586,0.0517144780606031
53,2.5,1.0,0.24,-0.6799999999999999,15.0,0.2891837967081769,0.0060027227523156,0.0517144780606031
54,2.5,1.0,0.24,-0.6799999999999999,30.0,0.24345081727321702,0.0057875420172431,0.0517144780606031
55,2.5,1.0,0.24,-0.6799999999999999,45.0,0.20615502282245923,0.0055702750131695,0.0517144780606031
56,2.5,1.0,0.24,-0.6799999999999999,60.0,0.17728747007285764,0.00541473206874,0.0517144780606031
57,2.5,1.0,0.24,-0.6799999999999999,75.0,0.13924699543548674,0.0053255809474274,0.0517144780606031
58,2.5,1.0,0.24,-0.6799999999999999,90.0,0.11989946682188532,0.0052843244510913,0.0517144780606031
59,2.5,1.0,0.24,-0.6799999999999999,105.0,0.10949251707012714,0.0052714960040758,0.0517144780606031
60,2.5,1.0,0.24,-0.6799999999999999,120.0,0.09953514857634803,0.0052730765108949,0.0517144780606031
61,2.5,1.0,0.24,-0.6799999999999999,135.0,0.09632460990308152,0.0052803257688388,0.0517144780606031
62,2.5,1.0,0.24,-0.6799999999999999,150.0,0.07910773157700068,0.0052881334725255,0.0517144780606031
63,2.5,1.0,0.24,-0.6799999999999999,165.0,0.0859228097207257,0.0052937337350213,0.0517144780606031
64,2.5,1.0,0.24,-0.6799999999999999,180.0,0.08695272185214746,0.0052957409786816,0.0517144780606031
65,2.5,1.0,0.24,-0.6,0.0,0.4731470755401967,0.0064179535038448,0.0507346782833337
66,2.5,1.0,0.24,-0.6,15.0,0.4367422078180734,0.0062974556639522,0.0507346782833337
67,2.5,1.0,0.24,-0.6,30.0,0.3620090896868973,0.0060282215956646,0.0507346782833337
68,2.5,1.0,0.24,-0.6,45.0,0.2856714094596993,0.0057640030023499,0.0507346782833337
69,2.5,1.0,0.24,-0.6,60.0,0.22332987293596854,0.0055790837045083,0.0507346782833337
70,2.5,1.0,0.24,-0.6,75.0,0.18203342647122592,0.0054742434188374,0.0507346782833337
71,2.5,1.0,0.24,-0.6,90.0,0.14948608393468385,0.0054253741479891,0.0507346782833337
72,2.5,1.0,0.24,-0.6,105.0,0.12594490928156268,0.0054093161987064,0.0507346782833337
73,2.5,1.0,0.24,-0.6,120.0,0.12711662009760558,0.0054098851811613,0.0507346782833337
74,2.5,1.0,0.24,-0.6,135.0,0.11335934064636104,0.0054171291707491,0.0507346782833337
75,2.5,1.0,0.24,-0.6,150.0,0.10517418742215552,0.005425284585936,0.0507346782833337
76,2.5,1.0,0.24,-0.6,165.0,0.0882909397328497,0.0054312009497957,0.0507346782833337
77,2.5,1.0,0.24,-0.6,180.0,0.09428244495467338,0.0054333399023575,0.0507346782833337
78,2.5,1.0,0.24,-0.52,0.0,0.777693202859718,0.0068362609753155,0.0497529152780771
79,2.5,1.0,0.24,-0.52,15.0,0.713067873940531,0.0066693173083638,0.0497529152780771
80,2.5,1.0,0.24,-0.52,30.0,0.5751512419256868,0.0063084981382621,0.0497529152780771
81,2.5,1.0,0.24,-0.52,45.0,0.43666063101670993,0.0059699114307498,0.0497529152780771
82,2.5,1.0,0.24,-0.52,60.0,0.33103059829565806,0.0057410751167599,0.0497529152780771
83,2.5,1.0,0.24,-0.52,75.0,0.2507403355414865,0.0056134544594689,0.0497529152780771
84,2.5,1.0,0.24,-0.52,90.0,0.21624628280016464,0.0055535848611592,0.0497529152780771
85,2.5,1.0,0.24,-0.52,105.0,0.17430481664614347,0.005532616804025,0.0497529152780771
86,2.5,1.0,0.24,-0.52,120.0,0.14344104365795624,0.0055313418618575,0.0497529152780771
87,2.5,1.0,0.24,-0.52,135.0,0.12730486800260696,0.0055382117981648,0.0497529152780771
88,2.5,1.0,0.24,-0.52,150.0,0.12330734214512981,0.00554655687417,0.0497529152780771
89,2.5,1.0,0.24,-0.52,165.0,0.12303811905413774,0.005552747192545,0.0497529152780771
90,2.5,1.0,0.24,-0.52,180.0,0.11869285084080186,0.0055549915122283,0.0497529152780771
91,2.5,1.0,0.24,-0.4399999999999999,0.0,1.4533678230712705,0.0074720461851022,0.0487693827599286
92,2.5,1.0,0.24,-0.4399999999999999,15.0,1.302882497437452,0.0072092184377882,0.0487693827599286
93,2.5,1.0,0.24,-0.4399999999999999,30.0,0.9975706723167568,0.0066729840841843,0.0487693827599286
94,2.5,1.0,0.24,-0.4399999999999999,45.0,0.7150568408334961,0.0062046483035312,0.0487693827599286
95,2.5,1.0,0.24,-0.4399999999999999,60.0,0.5160740522809015,0.0059047734763762,0.0487693827599286
96,2.5,1.0,0.24,-0.4399999999999999,75.0,0.3832672059298696,0.0057417283929118,0.0487693827599286
97,2.5,1.0,0.24,-0.4399999999999999,90.0,0.29639246896049615,0.0056647261006824,0.0487693827599286
98,2.5,1.0,0.24,-0.4399999999999999,105.0,0.2401084895452134,0.005635739605619,0.0487693827599286
99,2.5,1.0,0.24,-0.4399999999999999,120.0,0.21084312815641618,0.0056310613054343,0.0487693827599286
100,2.5,1.0,0.24,-0.4399999999999999,135.0,0.19468043888149697,0.005636730056559,0.0487693827599286
101,2.5,1.0,0.24,-0.4399999999999999,150.0,0.16030083167357922,0.0056448749350338,0.0487693827599286
102,2.5,1.0,0.24,-0.4399999999999999,165.0,0.15487417656168692,0.005651165352174,0.0487693827599286
103,2.5,1.0,0.24,-0.4399999999999999,180.0,0.15565456175311965,0.00565347289213,0.0487693827599286
104,2.5,1.0,0.24,-0.36,0.0,3.204194930691338,0.0087007954065892,0.0477843824774026
105,2.5,1.0,0.24,-0.36,15.0,2.764171968986901,0.0081855923303917,0.0477843824774026
106,2.5,1.0,0.24,-0.36,30.0,1.9588441579713542,0.0072397327561103,0.0477843824774026
107,2.5,1.0,0.24,-0.36,45.0,1.3131958505814325,0.0065110980390538,0.0477843824774026
108,2.5,1.0,0.24,-0.36,60.0,0.8934076498707839,0.0060830124987289,0.0477843824774026
109,2.5,1.0,0.24,-0.36,75.0,0.630490036100076,0.0058592127331359,0.0477843824774026
110,2.5,1.0,0.24,-0.36,90.0,0.48114720446579945,0.0057528551609187,0.0477843824774026
111,2.5,1.0,0.24,-0.36,105.0,0.3823277607754832,0.0057095282006494,0.0477843824774026
112,2.5,1.0,0.24,-0.36,120.0,0.3208523527804937,0.0056979799641575,0.0477843824774026
113,2.5,1.0,0.24,-0.36,135.0,0.2768471147874125,0.0057005930687651,0.0477843824774026
114,2.5,1.0,0.24,-0.36,150.0,0.2491221149975093,0.0057075367620573,0.0477843824774026
115,2.5,1.0,0.24,-0.36,165.0,0.23397226103669716,0.0057134583942731,0.0477843824774026
116,2.5,1.0,0.24,-0.36,180.0,0.23390154503032046,0.0057157027139564,0.0477843824774026
117,2.5,1.0,0.24,-0.28,0.0,9.572349594815067,0.0122482113520526,0.046798126772046
118,2.5,1.0,0.24,-0.28,15.0,7.550222521535941,0.0106722563925345,0.046798126772046
119,2.5,1.0,0.24,-0.28,30.0,4.591798994610786,0.0083922804754892,0.046798126772046
120,2.5,1.0,0.24,-0.28,45.0,2.769170345216915,0.0070177874518519,0.046798126772046
121,2.5,1.0,0.24,-0.28,60.0,1.7565913649650389,0.0063194984657234,0.046798126772046
122,2.5,1.0,0.24,-0.28,75.0,1.2121311073985415,0.0059759173566626,0.046798126772046
123,2.5,1.0,0.24,-0.28,90.0,0.88124330752027,0.0058117975285612,0.046798126772046
124,2.5,1.0,0.24,-0.28,105.0,0.6760199659720563,0.0057390520680314,0.046798126772046
125,2.5,1.0,0.24,-0.28,120.0,0.5599031839153737,0.0057122045255299,0.046798126772046
126,2.5,1.0,0.24,-0.28,135.0,0.4714884489700475,0.0057069150960418,0.046798126772046
127,2.5,1.0,0.24,-0.28,150.0,0.4148926300532537,0.0057099707425589,0.046798126772046
128,2.5,1.0,0.24,-0.28,165.0,0.3969301453722734,0.0057141222071371,0.046798126772046
129,2.5,1.0,0.24,-0.28,180.0,0.38930175203173834,0.0057158713013504,0.046798126772046
130,2.5,1.0,0.2688888888888889,-1.0,0.0,0.17148097434372384,0.0050577587985649,0.0497557576745747
131,2.5,1.0,0.2688888888888889,-1.0,15.0,0.1618196828469855,0.0048658325871584,0.0497557576745747
132,2.5,1.0,0.2688888888888889,-1.0,30.0,0.12818643451242256,0.0045099972818931,0.0497557576745747
133,2.5,1.0,0.2688888888888889,-1.0,45.0,0.10035667019729655,0.0042607566248678,0.0497557576745747
134,2.5,1.0,0.2688888888888889,-1.0,60.0,0.07941707851527834,0.0041545571033325,0.0497557576745747
135,2.5,1.0,0.2688888888888889,-1.0,75.0,0.06972463522550651,0.0041331148941526,0.0497557576745747
136,2.5,1.0,0.2688888888888889,-1.0,90.0,0.0672781545841924,0.0041481981975634,0.0497557576745747
137,2.5,1.0,0.2688888888888889,-1.0,105.0,0.06604381433372929,0.0041747111994548,0.0497557576745747
138,2.5,1.0,0.2688888888888889,-1.0,120.0,0.0576673870554467,0.0042015640103124,0.0497557576745747
139,2.5,1.0,0.2688888888888889,-1.0,135.0,0.055239483871542545,0.0042242205755649,0.0497557576745747
140,2.5,1.0,0.2688888888888889,-1.0,150.0,0.05580672958460029,0.0042409370693556,0.0497557576745747
