,k,QQ,x_b,t,phi_x,F,errF,ReH,ReE,ReHt,dvcs,Acc_ReH,Acc_ReE,Acc_ReHt,Acc_dvcs
0,2.5,1.0,0.24,-1.0,0.0,-0.01882130652666092,0.0051368315547274,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
1,2.5,1.0,0.24,-1.0,15.0,-0.02244388312101364,0.0050819721630344,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
2,2.5,1.0,0.24,-1.0,30.0,-0.031389642506837845,0.0049535823257582,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
3,2.5,1.0,0.24,-1.0,45.0,-0.04186470806598663,0.0048193077347584,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
4,2.5,1.0,0.24,-1.0,60.0,-0.05114620178937912,0.0047204997167807,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
5,2.5,1.0,0.24,-1.0,75.0,-0.05830194056034088,0.0046633854686924,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
6,2.5,1.0,0.24,-1.0,90.0,-0.06345108151435852,0.0046376074024719,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
7,2.5,1.0,0.24,-1.0,105.0,-0.06703649461269379,0.0046307321978086,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
8,2.5,1.0,0.24,-1.0,120.0,-0.06948651373386383,0.0046333716441966,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
9,2.5,1.0,0.24,-1.0,135.0,-0.07112278044223785,0.0046395566942156,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
10,2.5,1.0,0.24,-1.0,150.0,-0.07216166704893112,0.0046457996961513,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
11,2.5,1.0,0.24,-1.0,165.0,-0.0727371796965599,0.0046501671633282,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
12,2.5,1.0,0.24,-1.0,180.0,-0.07292146235704422,0.0046517186941889,-0.5436618328094482,-0.11562250554561615,-0.24200496077537537,-0.08230505138635635,99.8200452625535,40.15771304644941,94.21715311783103,0.0
13,2.5,1.0,0.24,-0.92,0.0,0.006703004240989685,0.0053544831487938,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
14,2.5,1.0,0.24,-0.92,15.0,0.0016668438911437988,0.0052944344263778,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
15,2.5,1.0,0.24,-0.92,30.0,-0.010734312236309052,0.0051540854208366,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
16,2.5,1.0,0.24,-0.92,45.0,-0.02518613636493683,0.0050074723399353,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
17,2.5,1.0,0.24,-0.92,60.0,-0.037918832153081894,0.004899623822952,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
18,2.5,1.0,0.24,-0.92,75.0,-0.04767806828022003,0.0048371885352392,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
19,2.5,1.0,0.24,-0.92,90.0,-0.05466087907552719,0.0048088500479717,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
20,2.5,1.0,0.24,-0.92,105.0,-0.05949749797582626,0.0048010634177093,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
21,2.5,1.0,0.24,-0.92,120.0,-0.06278692930936813,0.0048036607172487,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
22,2.5,1.0,0.24,-0.92,135.0,-0.06497503817081451,0.0048101671369877,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
23,2.5,1.0,0.24,-0.92,150.0,-0.06635995209217072,0.0048167841922039,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
24,2.5,1.0,0.24,-0.92,165.0,-0.06712551414966583,0.0048214308822522,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
25,2.5,1.0,0.24,-0.92,180.0,-0.06737037003040314,0.0048230851460562,-0.5334281325340271,-0.11599819362163544,-0.23575185239315033,-0.07948650419712067,99.87747927152105,41.03728261053501,93.67174637725222,0.0
26,2.5,1.0,0.24,-0.84,0.0,0.04389435052871704,0.0055820023737677,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
27,2.5,1.0,0.24,-0.84,15.0,0.036596886813640594,0.0055146095629987,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
28,2.5,1.0,0.24,-0.84,30.0,0.01873835176229477,0.0053576546991442,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
29,2.5,1.0,0.24,-0.84,45.0,-0.0018732249736785889,0.0051945780055434,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
30,2.5,1.0,0.24,-0.84,60.0,-0.019849829375743866,0.0050750969583711,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
31,2.5,1.0,0.24,-0.84,75.0,-0.03350473567843437,0.0050059761268132,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
32,2.5,1.0,0.24,-0.84,90.0,-0.04320167750120163,0.0049743923322104,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
33,2.5,1.0,0.24,-0.84,105.0,-0.049876727163791656,0.0049654097851215,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
34,2.5,1.0,0.24,-0.84,120.0,-0.054393574595451355,0.0049678701074033,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
35,2.5,1.0,0.24,-0.84,135.0,-0.05738602951169014,0.0049746715550817,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
36,2.5,1.0,0.24,-0.84,150.0,-0.05927424877882004,0.0049816890053589,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
37,2.5,1.0,0.24,-0.84,165.0,-0.06031588837504387,0.0049866359917028,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
38,2.5,1.0,0.24,-0.84,180.0,-0.060648709535598755,0.0049884008909842,-0.523154079914093,-0.11636605113744736,-0.22947262227535248,-0.07666422426700592,99.56115711343186,41.95016933288153,93.09903879084548,0.0
39,2.5,1.0,0.24,-0.76,0.0,0.10092219710350037,0.0058257586721304,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
40,2.5,1.0,0.24,-0.76,15.0,0.08980174362659454,0.0057476605618397,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
41,2.5,1.0,0.24,-0.76,30.0,0.0628717690706253,0.0055671561463796,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
42,2.5,1.0,0.24,-0.76,45.0,0.03228064626455307,0.0053816257192348,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
43,2.5,1.0,0.24,-0.76,60.0,0.006019033491611481,0.005246850634409,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
44,2.5,1.0,0.24,-0.76,75.0,-0.013670496642589569,0.0051691107723307,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
45,2.5,1.0,0.24,-0.76,90.0,-0.027514364570379257,0.0051333597080813,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
46,2.5,1.0,0.24,-0.76,105.0,-0.03697321563959122,0.0051227703123929,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
47,2.5,1.0,0.24,-0.76,120.0,-0.04333798214793205,0.005124919801667,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
48,2.5,1.0,0.24,-0.76,135.0,-0.04753698781132698,0.0051319846671486,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
49,2.5,1.0,0.24,-0.76,150.0,-0.05017848685383797,0.0051394130491987,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
50,2.5,1.0,0.24,-0.76,165.0,-0.05163276940584183,0.0051446761369065,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
51,2.5,1.0,0.24,-0.76,180.0,-0.05209697037935257,0.0051465569400213,-0.5128409266471863,-0.11672623455524445,-0.2231682389974594,-0.07383845746517181,99.2299810623817,42.898430799999566,92.49730488893616,0.0
52,2.5,1.0,0.24,-0.6799999999999999,0.0,0.19366499781608582,0.0060970263258586,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
53,2.5,1.0,0.24,-0.6799999999999999,15.0,0.17561741173267365,0.0060027227523156,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
54,2.5,1.0,0.24,-0.6799999999999999,30.0,0.1326240599155426,0.0057875420172431,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
55,2.5,1.0,0.24,-0.6799999999999999,45.0,0.08495737612247467,0.0055702750131695,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
56,2.5,1.0,0.24,-0.6799999999999999,60.0,0.04497993737459183,0.00541473206874,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
57,2.5,1.0,0.24,-0.6799999999999999,75.0,0.015550941228866577,0.0053255809474274,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
58,2.5,1.0,0.24,-0.6799999999999999,90.0,-0.004870675504207611,0.0052843244510913,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
59,2.5,1.0,0.24,-0.6799999999999999,105.0,-0.01869627833366394,0.0052714960040758,-0.5024900436401367,-0.11707890033721924,-0.21683970093727112,-0.07100948691368103,98.88288670811318,43.88433973858512,91.86467436160346,0.0
