,k,QQ,x_b,t,phi_x,F,errF,dvcs
0,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,7.5,0.11636196383352329,0.0049200002104043,0.0177613202492134
1,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,22.5,0.12160513450021505,0.0046799997799098,0.0177613202492134
2,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,37.5,0.1102815537898098,0.0041999998502433,0.0177613202492134
3,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,52.5,0.10042695157119337,0.00395999988541,0.0177613202492134
4,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,67.5,0.08180642530318323,0.0035999999381601,0.0177613202492134
5,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,82.5,0.07444352659627833,0.0033599999733269,0.0177613202492134
6,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,97.5,0.06996518801513082,0.0031200000084936,0.0177613202492134
7,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,112.5,0.058906878985432586,0.0028800000436604,0.0177613202492134
8,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,127.5,0.050030922734615305,0.0027600000612437,0.0177613202492134
9,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,142.5,0.05072700249814474,0.0025200000964105,0.0177613202492134
10,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,157.5,0.04789869868692187,0.0025200000964105,0.0177613202492134
11,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,172.5,0.05004078356115938,0.0024000001139938,0.0177613202492134
12,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,187.5,0.04373261393862969,0.0024000001139938,0.0177613202492134
13,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,202.5,0.0507438957277729,0.0025200000964105,0.0177613202492134
14,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,217.5,0.0563142438789663,0.0026400000788271,0.0177613202492134
15,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,232.5,0.05396248331644114,0.0026400000788271,0.0177613202492134
16,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,247.5,0.05606834194308687,0.0027600000612437,0.0177613202492134
17,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,262.5,0.05860318510419801,0.0028800000436604,0.0177613202492134
18,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,277.5,0.06797143057205757,0.0032399999909102,0.0177613202492134
19,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,292.5,0.08316822262178085,0.0034799999557435,0.0177613202492134
20,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,307.5,0.09802789558508199,0.0038399999029934,0.0177613202492134
21,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,322.5,0.09914754682592303,0.0041999998502433,0.0177613202492134
22,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,337.5,0.1127333911878174,0.0045599997974932,0.0177613202492134
23,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,352.5,0.12162196491152726,0.0048000002279877,0.0177613202492134
24,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,7.5,0.08173792514207788,0.005040000192821,0.0128291665507456
25,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,22.5,0.08538499746214631,0.0044399998150765,0.0128291665507456
26,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,37.5,0.07470140192555068,0.0038399999029934,0.0128291665507456
27,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,52.5,0.0632753278067843,0.0035999999381601,0.0128291665507456
28,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,67.5,0.04866526780676676,0.0032399999909102,0.0128291665507456
29,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,82.5,0.04521057125279033,0.0028800000436604,0.0128291665507456
30,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,97.5,0.03735746947939145,0.0025200000964105,0.0128291665507456
31,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,112.5,0.041384729459960565,0.0024000001139938,0.0128291665507456
32,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,127.5,0.033361231472896116,0.0021599999163299,0.0128291665507456
33,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,142.5,0.028461145966344522,0.0020399999339133,0.0128291665507456
34,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,157.5,0.030441722525426363,0.0020399999339133,0.0128291665507456
35,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,172.5,0.03344541989636889,0.0019199999514967,0.0128291665507456
36,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,187.5,0.02988478266180852,0.0019199999514967,0.0128291665507456
37,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,202.5,0.02842146147211932,0.0020399999339133,0.0128291665507456
38,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,217.5,0.027928289632836015,0.0020399999339133,0.0128291665507456
