set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHtilde,dvcs
1,0,5.75,1.82,0.343,-0.172,7.5,0.113237,0.00499261,0.04409,-2.56464,2.21195,1.39564,0.0315875
1,1,5.75,1.82,0.343,-0.172,22.5,0.111495,0.00443748,0.0398,-2.56464,2.21195,1.39564,0.0315875
1,2,5.75,1.82,0.343,-0.172,37.5,0.100762,0.00424006,0.04208,-2.56464,2.21195,1.39564,0.0315875
1,3,5.75,1.82,0.343,-0.172,52.5,0.0961192,0.0040447,0.04208,-2.56464,2.21195,1.39564,0.0315875
1,4,5.75,1.82,0.343,-0.172,67.5,0.0849277,0.00346675,0.04082,-2.56464,2.21195,1.39564,0.0315875
1,5,5.75,1.82,0.343,-0.172,82.5,0.0811181,0.00346293,0.04269,-2.56464,2.21195,1.39564,0.0315875
1,6,5.75,1.82,0.343,-0.172,97.5,0.0717791,0.0033327,0.04643,-2.56464,2.21195,1.39564,0.0315875
1,7,5.75,1.82,0.343,-0.172,112.5,0.0583896,0.00276592,0.04737,-2.56464,2.21195,1.39564,0.0315875
1,8,5.75,1.82,0.343,-0.172,127.5,0.0608682,0.00292167,0.048,-2.56464,2.21195,1.39564,0.0315875
1,9,5.75,1.82,0.343,-0.172,142.5,0.0581145,0.00292316,0.0503,-2.56464,2.21195,1.39564,0.0315875
1,10,5.75,1.82,0.343,-0.172,157.5,0.0460083,0.00232342,0.0505,-2.56464,2.21195,1.39564,0.0315875
1,11,5.75,1.82,0.343,-0.172,172.5,0.050616,0.00252574,0.0499,-2.56464,2.21195,1.39564,0.0315875
1,12,5.75,1.82,0.343,-0.172,187.5,0.0547436,0.00272021,0.04969,-2.56464,2.21195,1.39564,0.0315875
1,13,5.75,1.82,0.343,-0.172,202.5,0.0598724,0.00283615,0.04737,-2.56464,2.21195,1.39564,0.0315875
1,14,5.75,1.82,0.343,-0.172,217.5,0.0542466,0.00271721,0.05009,-2.56464,2.21195,1.39564,0.0315875
1,15,5.75,1.82,0.343,-0.172,232.5,0.0555935,0.00265904,0.04783,-2.56464,2.21195,1.39564,0.0315875
