Set #,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1,5.75,1.82,0.343,-0.172,7.5,0.12005317,0.006002658605575562,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,22.5,0.114968926,0.00574844628572464,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,37.5,0.106078334,0.005303916707634926,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,52.5,0.09526553,0.004763276502490044,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,67.5,0.08424862,0.004212430864572525,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,82.5,0.074176475,0.003708823770284653,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,97.5,0.06561801,0.0032809004187583923,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,112.5,0.058736928,0.0029368463903665545,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,127.5,0.053479675,0.0026739837601780893,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,142.5,0.04971022,0.0024855110794305803,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,157.5,0.047287516,0.0023643758147954943,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,172.5,0.04610443,0.0023052215576171878,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,187.5,0.046104424,0.0023052211850881576,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,202.5,0.047287516,0.0023643758147954943,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,217.5,0.04971022,0.0024855110794305803,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,232.5,0.053479675,0.0026739837601780893,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,247.5,0.05873692,0.0029368460178375248,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,262.5,0.06561801,0.0032809004187583923,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,277.5,0.074176475,0.003708823770284653,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,292.5,0.08424862,0.004212430864572525,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,307.5,0.09526553,0.004763276502490044,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
