,0
0,0.9946762
1,-0.99730384
2,-0.24095114
3,-0.9753062
4,-0.24089666
5,0.85967
6,-0.8892926
7,-0.98552746
8,0.6791002
9,0.89523095
10,0.9905682
11,-0.98236173
12,0.9882199
13,0.45823017
14,-0.86794186
15,-0.9975835
16,-0.9996297
17,0.99321437
18,-0.96636486
19,0.63253903
20,0.98745316
21,-0.93640685
22,-0.90725565
23,0.9899485
24,0.8939163
25,-0.7195885
26,-0.59349656
27,-0.8298226
28,-0.98425186
29,-0.8763149
30,0.9891994
31,0.857949
32,0.98454267
33,-0.82420087
34,-0.27929583
35,0.99442554
36,-0.99409187
37,0.97920424
38,-0.5118572
39,0.9705468
40,0.9860662
41,-0.8519966
42,-0.9720603
43,0.8220834
44,0.8719832
45,0.083036765
46,-0.9925574
47,0.9792466
48,0.5313139
49,-0.88720477
50,0.9431499
51,-0.8665542
52,-0.99271667
53,0.32052004
54,-0.5098144
55,-0.4860548
56,-0.5587802
57,0.041609775
58,0.44209582
59,-0.74222606
60,-0.88466877
61,-0.842487
62,0.9621013
63,0.94294006
64,-0.37289968
65,0.13270618
66,0.98497605
67,0.87329835
68,-0.98737776
69,0.8477789
70,0.3364722
71,0.9887842
72,0.39791006
73,0.6749644
74,0.9761548
75,0.73736125
76,-0.8128006
77,0.97824454
78,0.9224117
79,-0.90580744
80,-0.8089172
81,-0.97972596
82,0.39619258
83,0.745708
84,-0.61132234
85,-0.83874226
86,0.9826273
87,-0.65594614
88,0.9426646
89,0.9570389
90,0.9871809
91,-0.65053105
92,0.99454343
93,-0.17266946
94,0.32309467
95,0.9963105
96,-0.9035639
97,-0.9826049
98,0.9665452
99,0.96417123
